date,demand
2025-10-31,13818
2025-11-01,17087
2025-11-02,15951
2025-11-03,16324
2025-11-04,16386
2025-11-05,16673
2025-11-06,16140
2025-11-07,16187
2025-11-08,16783
2025-11-09,16101
2025-11-10,16743
2025-11-11,16277
2025-11-12,16547
2025-11-13,15893
2025-11-14,16118
2025-11-15,16466
2025-11-16,15520
2025-11-17,15711
2025-11-18,16461
2025-11-19,15896
2025-11-20,16504
2025-11-21,16504
2025-11-22,16382
2025-11-23,15893
2025-11-24,16043
2025-11-25,15921
2025-11-26,15740
2025-11-27,16332
2025-11-28,16278
2025-11-29,16348
2025-11-30,16224
2025-12-01,17512
2025-12-02,17874
2025-12-03,17682
2025-12-04,18477
2025-12-05,17607
2025-12-06,18244
2025-12-07,18355
2025-12-08,17878
2025-12-09,17680
2025-12-10,17911
2025-12-11,17291
2025-12-12,17944
2025-12-13,18513
2025-12-14,17776
2025-12-15,18340
2025-12-16,17967
2025-12-17,18462
2025-12-18,18044
2025-12-19,18544
2025-12-20,18649
2025-12-21,18558
2025-12-22,19104
2025-12-23,18262
2025-12-24,18511
2025-12-25,18068
2025-12-26,18038
2025-12-27,18086
2025-12-28,18183
2025-12-29,18736
2025-12-30,18230
2025-12-31,18197
